0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:09 +0900] "GET /PicHall/images/pic02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/ExhibitionList.ex HTTP/1.1" 200 21816
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/assets/css/category.css HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/css/main.css HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/css/exhibition_list.css HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/jquery.scrollex.min.js HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/browser.min.js HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/jquery.scrolly.min.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/breakpoints.min.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/main.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/util.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/jquery.min.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/jquery.scrollex.min.js HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/jquery.scrolly.min.js HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/browser.min.js HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/breakpoints.min.js HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/util.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:11 +0900] "GET /PicHall/exhibition/assets/js/main.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [02/Jan/2021:16:01:12 +0900] "GET /PicHall/exhibition/ExhibitionList.ex?exhibition_category_id=22 HTTP/1.1" 200 12288
